input_question,automodel,trained_model,bayesian_model
"어제 카드 결제 했는데, 취소하고 다른 카드로 결제하고 싶어요.",네. 결제하신 카드를 다시 넣어주시면 취소 후 다시 결제 도와드리겠습니다.,네. 결제하신 카드를 다시 넣어주시면 취소 후 다시 결제 도와드리겠습니다.,수납처는 현 위치 기준 정면에 위치해 있습니다.
수납한거에 보험료 적용이 된건가요?,상처 봉합하신 것은 간단한 수술이어서 진료비만 같이 포함되어 있습니다.,수납 창구는 원내 1층에 진료 접수처 아 옆에 있습니다.,A동 1층 수납창구로 가셔서 안내원에 지시에 따라 결제해 주시면 됩니다.
현금 수납 할 수 있나요? 오늘 카드를 안가져 왔어요.,수납 키오스크에서 회원카드 없이도 수납이 가능합니다. 키오스크에 수납 버튼을 누르고 고객님의 생년월일을 입력해 주십시오.,불편을 드려서 죄송합니다. 즉시 도움을 요청하도록 하겠습니다.,저희 병원은 피검사는 보험 적용이 가능하지만 초음파검사가 비보험으로 보험 적용이 안됩니다.
"계산하고, 진료비 영수증을 받을 수 있나요?",원무과 직원에게 성함을 말씀해 주시면 발급이 가능합니다.,"수납 시 영수증 발급을 선택해 주시거나, 영수증을 요청하시면 발급됩니다.",안내 데스크에 요청해 주시면 병원 직원이 안내해 드리겠습니다.
지역화폐로 결제 되나요? 안되면 카드로 할게요.,지역화폐 카드는 사용이 불가합니다. 다른 카드나 현금으로 결제해 주세요.,지역화폐 카드는 사용이 불가합니다. 다른 카드나 현금으로 결제해 주세요.,"카드, 현금 둘 다 가능합니다. 수납은 우측 문을 통해 나가시면 가능합니다."
무인 발급기가 어디있는지 모르겠어요.,무인 수납기 옆에서 사용법을 안내해 드리겠습니다. 저를 따라오시기 바랍니다.,기다려 주시면 발급을 도와드리겠습니다.,"통합 민원실로 가셔서 추가로 2,000원을 납부하시면 발급해 드리겠습니다."
보험사에 어떤 서류를 제출해야 하죠?,보험사마다 상이하여 정확히 알려드릴 수 없습니다. 보험사에 문의해 주시길 바랍니다.,보험 비용 청구 가능한 자료 발급해 드리겠습니다.,진단서 작성 시 의사의 의학적 소견이 필요하기 때문에 이는 의사의 진료 행위에 포함되기에 그렇습니다.
영수증 추가로 한 장 떼 주시구요. 팩스로 바로 보내주세요.,"추가로 출력해 드리겠습니다. 오늘 수납하실 금액은 2,700원입니다.",출력해 드리겠습니다. 세부 진료 비용은 영수증 내역에서 확인해 주시기 바랍니다.,"진단서 발급의 경우, 의사 선생님과 협의가 필요합니다."
"소견서 발급해주신다고 했는데, 아직인가요?",5분 정도 대기해 주시면 소견서 발급 도와드리겠습니다.,5분 정도 대기해 주시면 소견서 발급 도와드리겠습니다.,죄송합니다. 당일 의사 소견서는 따로 제공되지 않습니다.
"지난번에 현금영수증 신청을 안 한게 있는데, 지금 신청 할 수 있나요?",수납 내역을 확인 중입니다. 수납 내역이 확인되었습니다. 영수증은 출력 시간 20초 소요됩니다.,네. 현금으로 진료비 결제 시 현금영수증 발급해 드립니다.,"증빙서류 신청 전화접수로 완료되셨고, 성함 확인 후 즉시 발급 예정입니다."
다음 예약 안 할게요.,찾아주셔서 감사합니다. 다음에도 편안하게 모시겠습니다. 감사합니다.,이용해 주셔서 감사합니다. 다음번에도 최선을 다해 도와드리겠습니다.,오후 네시에는 다른 환자분께서 이미 예약을 하셨습니다. 그 이후로는 언제든 예약 가능하십니다.
다음번 예약시간은 나중에 다시 정할게요.,이용해 주셔서 감사합니다. 방문 전 반드시 예약을 해주시길 부탁드립니다.,예약하실 때 카카오톡 채널을 이용해 주시면 됩니다. 감사합니다.,가장 빠른 일정은 한 달 후 11월 22일에 가능하십니다. 괜찮으시면 예약 도와드리겠습니다.
이번주 금요일로 다음예약 잡아주세요.,죄송합니다. 해당 시간에는 이미 예약이 차있습니다. 다른 시간을 불러주십시오.,네 다음 주 월요일 점심시간 이후로 예약 도와드리겠습니다.,예약 가능 여부를 확인해 보겠습니다. 잠시만 기다려 주십시오.
"붕대 풀러 와야 하는데, 다음주 월요일 예약 될까요?",다음 주 금요일은 피부과 휴무일입니다.,다음 주 금요일은 피부과 휴무일입니다.,"예약 가능하신 날은 월요일, 수요일입니다. 시간대는 모두 가능합니다."
인터넷으로 미리 다음번 예약을 할 수 있나요?,병원 홈페이지 진료 예약 메뉴에 들어가시면 진료 예약이 가능합니다.,일요일은 불가능하십니다. 원하신다면 토요일로 예약을 잡아드리겠습니다.,죄송하지만 접수 마감시간인 6시 30분까지는 방문해 주셔야 합니다.
