question,predicted_label,best_answer,cosine_similarity
 저는 몇 번 째에 들어가나요? 진료예약을 아까전에 했는데요.,0,저를 따라오시길 바랍니다. 진료실까지 신속히 안내해 드리겠습니다.,0.9999851584434509
대기시간이 얼마나 남은거죠?,1,앞에 164번 고객님 접수가 지연되어 약 10분의 추가 대기가 있을 예정입니다.,0.9999996423721313
진료실이 저기로 가면 되나요? 어느 방향이에요?,0,여기는 3층으로 정형외과입니다. 안과는 2층으로 내려가셔야 합니다.,0.9999996423721313
"저 다음대기순번인데, 전화만 받고 들어가도 되나요? 미룰 수 있나요?",2,네 가능하십니다. 저희 병원 홈페이지 하단에 예약 접수 버튼을 클릭하시고 예약해 주십시오.,1.000000238418579
약국이 어디로 가야 하나요?,4,역방향으로 30m 걸어가시면 약국이 한 개 있습니다. 현재 영업 중입니다.,1.0
오늘 수면제가 나왔는데 여기 아래 약국에서 처방이 되나요?,1,접수 먼저 부탁드립니다. 카운터에서 성함을 입력해 주시길 바랍니다.,0.9999424815177917
지금 당장 약국은 못 갈 거 같아서 다른 약국을 가도 되나요?,4,죄송합니다. 말씀하신 내용을 이해하지 못했습니다. 다시 말씀해 주십시오.,0.9999998807907104
아래 약국 말고 다른 약국은 어디에 있어요?,4,약국은 해당 건물 5층에 있습니다. 현재 바로 처방 가능합니다.,1.0
말 한 곳에 약국이 없는데요?,4,같은 건물 내에 위치해 있습니다. 병원 출구에서 나가셔서 꺾으시면 보일 겁니다.,1.0
"어제 카드 결제 했는데, 취소하고 다른 카드로 결제하고 싶어요.",3,수납처는 현 위치 기준 정면에 위치해 있습니다.,1.000000238418579
수납한거에 보험료 적용이 된건가요?,3,A동 1층 수납창구로 가셔서 안내원에 지시에 따라 결제해 주시면 됩니다.,1.000000238418579
현금 수납 할 수 있나요? 오늘 카드를 안가져 왔어요.,3,저희 병원은 피검사는 보험 적용이 가능하지만 초음파검사가 비보험으로 보험 적용이 안됩니다.,1.000000238418579
"계산하고, 진료비 영수증을 받을 수 있나요?",6,안내 데스크에 요청해 주시면 병원 직원이 안내해 드리겠습니다.,0.9987489581108093
지역화폐로 결제 되나요? 안되면 카드로 할게요.,3,"카드, 현금 둘 다 가능합니다. 수납은 우측 문을 통해 나가시면 가능합니다.",1.0000001192092896
무인 발급기가 어디있는지 모르겠어요.,6,"통합 민원실로 가셔서 추가로 2,000원을 납부하시면 발급해 드리겠습니다.",0.9999877214431763
보험사에 어떤 서류를 제출해야 하죠?,6,진단서 작성 시 의사의 의학적 소견이 필요하기 때문에 이는 의사의 진료 행위에 포함되기에 그렇습니다.,0.9999997019767761
영수증 추가로 한 장 떼 주시구요. 팩스로 바로 보내주세요.,6,"진단서 발급의 경우, 의사 선생님과 협의가 필요합니다.",0.9999999403953552
"소견서 발급해주신다고 했는데, 아직인가요?",6,죄송합니다. 당일 의사 소견서는 따로 제공되지 않습니다.,0.9999995231628418
"지난번에 현금영수증 신청을 안 한게 있는데, 지금 신청 할 수 있나요?",6,"증빙서류 신청 전화접수로 완료되셨고, 성함 확인 후 즉시 발급 예정입니다.",0.9999738931655884
다음 예약 안 할게요.,2,오후 네시에는 다른 환자분께서 이미 예약을 하셨습니다. 그 이후로는 언제든 예약 가능하십니다.,1.0000001192092896
다음번 예약시간은 나중에 다시 정할게요.,2,가장 빠른 일정은 한 달 후 11월 22일에 가능하십니다. 괜찮으시면 예약 도와드리겠습니다.,1.000000238418579
이번주 금요일로 다음예약 잡아주세요.,2,예약 가능 여부를 확인해 보겠습니다. 잠시만 기다려 주십시오.,1.0000001192092896
"붕대 풀러 와야 하는데, 다음주 월요일 예약 될까요?",2,"예약 가능하신 날은 월요일, 수요일입니다. 시간대는 모두 가능합니다.",1.0000001192092896
인터넷으로 미리 다음번 예약을 할 수 있나요?,2,죄송하지만 접수 마감시간인 6시 30분까지는 방문해 주셔야 합니다.,1.000000238418579
