question,label,predicted_label,best_answer,cosine_similarity
처방전에 감기 증상으로 내원이라고 적어주세요.,5,2,증상 기록을 시작합니다. 옆에 체온계에서 체온을 측정해 말씀해 주시기 바랍니다.,0.9968737959861755
소견서 어떻게 발급하죠?,5,5,어떤 증빙서류를 말씀하신 건지 확인이 안되었습니다. 다시 한번 말씀해 주십시오.,0.9999783635139465
다음 예약 안 할게요.,0,0,이용해 주셔서 감사합니다. 예약은 평일 18시까지 전화로 가능합니다.,0.9999942183494568
다음번 예약시간은 나중에 다시 정할게요.,0,0,전화 후 혹은 카카오톡 플러스 친구로 연락 주시면 됩니다. 이용해 주셔서 감사합니다.,0.9999977350234985
이번주 금요일로 다음예약 잡아주세요.,0,0,다음 주 화요일인 11월 15일로 예약을 잡아드리겠습니다. 원하시는 시간을 말씀해 주십시오.,0.9999966621398926
"붕대 풀러 와야 하는데, 다음주 월요일 예약 될까요?",0,0,예약 완료했습니다. 10분이 지나도 안 오시면 자동으로 취소된다는 점 알려드립니다.,0.9999983310699463
인터넷으로 미리 다음번 예약을 할 수 있나요?,0,0,죄송합니다. 진료 예약은 예약일 2주 전부터 가능합니다.,0.9999980926513672
다음 예약을 안해서 예약 하려고요.,0,0,점심시간에도 진료를 보고 있어 예약이 가능합니다. 예약 도와드리겠습니다.,0.9999963045120239
여기서 다음 진료 예약하면 되나요?,0,0,네 다음 주 월요일 점심시간 이후로 예약 도와드리겠습니다.,0.9999912977218628
다음 진료 예약하려고 하는데요.,0,0,"예약 가능하신 날은 월요일, 수요일입니다. 시간대는 모두 가능합니다.",0.9999915361404419
다음주에 예약 시간 되는 날짜를 알려주세요.,0,0,"일정 조회를 시작하겠습니다. 월, 수, 금중 편하신 날짜에 예약을 도와드리도록 하겠습니다.",0.9999985694885254
"원래 다음주에 예약을 했는데, 날짜를 옮기려고요.",0,0,예약 가능한 일정을 확인 후에 안내를 도와드리겠습니다.,0.999994695186615
