question,label,predicted_label,best_answer,cosine_similarity
아래 약국 말고 다른 약국은 어디에 있어요?,4,4,건물 밖 왼쪽으로 직진하시어 사거리로 나가시면 약국이 있습니다.,0.9996324181556702
말 한 곳에 약국이 없는데요?,4,4,건물 밖 왼쪽으로 직진하시어 사거리로 나가시면 약국이 있습니다.,0.9995800852775574
약국 어떻게 가요?,4,4,"원내 약국은 1층 입구 왼쪽에 있고, 병원 밖으로 나가시면 오른쪽에 바로 약국이 있습니다.",0.9995445013046265
약국이 몇층에 있죠?,4,4,지하 2층에 있습니다. 에스컬레이터를 통해 내려가시면 됩니다. 감사합니다.,0.999411940574646
근처 약국 어디가 있는지 알려주세요.,4,4,"약국은 총 네 개가 있으며, 모두 영업 중입니다. 병원 3층에 한 개 있습니다.",0.999628484249115
약국까지 데려다 주세요.,4,4,약국은 총 네 개가 있으며 모두 영업 중입니다. 병원 3층에 한 개 있습니다.,0.9987638592720032
약국 까지 오래걸리나요? 너무 힘든데,4,4,고객님 약국까지 동행 안내해 드리겠습니다. 저를 따라와 주십시오.,0.9991326332092285
현금 수납 할 수 있나요? 오늘 카드를 안가져 왔어요.,3,3,불편을 드려서 죄송합니다. 즉시 도움을 요청하도록 하겠습니다.,0.9964045882225037
"어제 카드 결제 했는데, 취소하고 다른 카드로 결제하고 싶어요.",3,3,네. 결제하신 카드를 다시 넣어주시면 취소 후 다시 결제 도와드리겠습니다.,0.9963889718055725
"계산하고, 진료비 영수증을 받을 수 있나요?",3,6,"수납 시 영수증 발급을 선택해 주시거나, 영수증을 요청하시면 발급됩니다.",0.9659247398376465
수납한거에 보험료 적용이 된건가요?,3,3,수납 창구는 원내 1층에 진료 접수처 아 옆에 있습니다.,0.9886064529418945
지역화폐로 결제 되나요? 안되면 카드로 할게요.,3,3,지역화폐 카드는 사용이 불가합니다. 다른 카드나 현금으로 결제해 주세요.,0.9955528974533081
카드로 결제할게요.,3,3,요청하신 사항을 인식하지 못했습니다. 다시 한번 말씀해 주세요.,0.9989882111549377
이만원은 현금 결제하고 나머지 카드로 할게요.,3,3,"1,000,000원 회원권 결제 도와드리겠습니다. 회원권 결제 시 시술가 10% 할인 이벤트 진행 중입니다.",0.9955585598945618
카드 결제 한 거 할부로 다시 결제하고 싶어요.,3,3,"진료비 3,800원 결제해 드리겠습니다. 결제 완료되었습니다. 감사합니다.",0.9940229058265686
결제 해주세요.,3,3,수납은 입구 쪽 데스크에서 도와드리고 있습니다. 저를 따라와 주십시오.,0.9904069900512695
결제 어떻게 해요? 카드 리더기가 어디있어요?,3,3,네 가능하십니다. 수납 도와드리겠습니다.,0.9952399134635925
무인 발급기가 어디있는지 모르겠어요.,6,6,기다려 주시면 발급을 도와드리겠습니다.,0.9625685214996338
보험사에 어떤 서류를 제출해야 하죠?,6,6,보험 비용 청구 가능한 자료 발급해 드리겠습니다.,0.9961575865745544
영수증 추가로 한 장 떼 주시구요. 팩스로 바로 보내주세요.,6,6,출력해 드리겠습니다. 세부 진료 비용은 영수증 내역에서 확인해 주시기 바랍니다.,0.9875448346138
"소견서 발급해주신다고 했는데, 아직인가요?",6,6,5분 정도 대기해 주시면 소견서 발급 도와드리겠습니다.,0.9983978271484375
"지난번에 현금영수증 신청을 안 한게 있는데, 지금 신청 할 수 있나요?",6,3,네. 현금으로 진료비 결제 시 현금영수증 발급해 드립니다.,0.9091169834136963
환자용 처방전 하나 더 프린트 해주세요.,6,6,출력 기계에 오류가 생겼습니다. 해결하기 전까지 잠시만 기다려주시길 부탁드립니다.,0.919975757598877
"실비보험 신청하려고 하는데, 진료비계산서 뽑아주세요.",6,6,진료비 세부 내역서 발행을 요청하겠습니다. 필요하시면 영수증도 추가로 발급받으실 수 있습니다.,0.98541659116745
회사에 낼 증빙서류 좀 뽑아주세요.,6,6,프런트에서 직접 해주셔야 합니다. 제가 안내해 드리겠습니다.,0.998573899269104
처방전에 감기 증상으로 내원이라고 적어주세요.,6,5,접수처에 진료확인서 제출해 주시면 직원이 안내해 드릴 예정입니다.,0.9858061075210571
소견서 어떻게 발급하죠?,6,6,"1층 종업 민원실에서 2,000원 추가 수납하시면 가능합니다.",0.9990410804748535
다음 예약 안 할게요.,2,2,이용해 주셔서 감사합니다. 다음번에도 최선을 다해 도와드리겠습니다.,0.9996032118797302
다음번 예약시간은 나중에 다시 정할게요.,2,2,예약하실 때 카카오톡 채널을 이용해 주시면 됩니다. 감사합니다.,0.9996695518493652
이번주 금요일로 다음예약 잡아주세요.,2,2,네 다음 주 월요일 점심시간 이후로 예약 도와드리겠습니다.,0.998837947845459
"붕대 풀러 와야 하는데, 다음주 월요일 예약 될까요?",2,2,다음 주 금요일은 피부과 휴무일입니다.,0.9993656277656555
인터넷으로 미리 다음번 예약을 할 수 있나요?,2,2,일요일은 불가능하십니다. 원하신다면 토요일로 예약을 잡아드리겠습니다.,0.9993304014205933
다음 예약을 안해서 예약 하려고요.,2,2,일요일은 불가능하십니다. 원하신다면 토요일로 예약을 잡아드리겠습니다.,0.9996622800827026
여기서 다음 진료 예약하면 되나요?,2,2,예약 원하시는 일정을 말씀해 주시면 진료예약 가능 여부를 조회해 드립니다.,0.9970685243606567
다음 진료 예약하려고 하는데요.,2,2,"현재 진료 예약 가능 시간은 화요일 오전 열시, 목요일 오후 두시, 금요일 오전 아홉시로 확인됩니다.",0.9990489482879639
다음주에 예약 시간 되는 날짜를 알려주세요.,2,2,확인해 보겠습니다. 다음 주 금요일이 괜찮으시다면 그때로 예약을 해드리겠습니다.,0.9997416734695435
"원래 다음주에 예약을 했는데, 날짜를 옮기려고요.",2,2,현재 예약 가능하신 날짜는 다음 주 목요일과 금요일입니다. 가능하신 날을 말씀해 주시기 바랍니다.,0.9974393844604492
