input_question,answer,max_similarity
지역화폐로 결제 되나요? 안되면 카드로 할게요.,지역화폐 카드는 사용이 불가합니다. 다른 카드나 현금으로 결제해 주세요.,0.9195311069488525
무인 발급기가 어디있는지 모르겠어요.,무인 수납기 옆에서 사용법을 안내해 드리겠습니다. 저를 따라오시기 바랍니다.,0.7548321485519409
보험사에 어떤 서류를 제출해야 하죠?,보험사마다 상이하여 정확히 알려드릴 수 없습니다. 보험사에 문의해 주시길 바랍니다.,0.8702638745307922
영수증 추가로 한 장 떼 주시구요. 팩스로 바로 보내주세요.,"추가로 출력해 드리겠습니다. 오늘 수납하실 금액은 2,700원입니다.",0.8119879961013794
"소견서 발급해주신다고 했는데, 아직인가요?",5분 정도 대기해 주시면 소견서 발급 도와드리겠습니다.,0.8570975661277771
"지난번에 현금영수증 신청을 안 한게 있는데, 지금 신청 할 수 있나요?",수납 내역을 확인 중입니다. 수납 내역이 확인되었습니다. 영수증은 출력 시간 20초 소요됩니다.,0.8429374694824219
다음 예약 안 할게요.,찾아주셔서 감사합니다. 다음에도 편안하게 모시겠습니다. 감사합니다.,0.7751944065093994
다음번 예약시간은 나중에 다시 정할게요.,이용해 주셔서 감사합니다. 방문 전 반드시 예약을 해주시길 부탁드립니다.,0.7883794903755188
이번주 금요일로 다음예약 잡아주세요.,죄송합니다. 해당 시간에는 이미 예약이 차있습니다. 다른 시간을 불러주십시오.,0.8065916299819946
"붕대 풀러 와야 하는데, 다음주 월요일 예약 될까요?",다음 주 금요일은 피부과 휴무일입니다.,0.8701149821281433
인터넷으로 미리 다음번 예약을 할 수 있나요?,병원 홈페이지 진료 예약 메뉴에 들어가시면 진료 예약이 가능합니다.,0.9373986721038818
